date,region,rainfall,rain_intensity,planting_time
1-Dec-18,"Maguwoharo, Sleman",207,10,BURUK
1-Jan-19,"Maguwoharo, Sleman",329,21,BAIK
1-Feb-19,"Maguwoharo, Sleman",215,12,BURUK
1-Mar-19,"Maguwoharo, Sleman",659,14,BAIK
1-Apr-19,"Maguwoharo, Sleman",189,7,BURUK
1-May-19,"Maguwoharo, Sleman",40,1,BURUK
1-Jun-19,"Maguwoharo, Sleman",0,0,BURUK
1-Jul-19,"Maguwoharo, Sleman",0,0,BURUK
1-Aug-19,"Maguwoharo, Sleman",0,0,BURUK
1-Sep-19,"Maguwoharo, Sleman",0,0,BURUK
1-Oct-19,"Maguwoharo, Sleman",0,0,BURUK
1-Nov-19,"Maguwoharo, Sleman",53,4,BURUK
1-Dec-19,"Maguwoharo, Sleman",300,17,BAIK
1-Jan-15,"Jambon, Sleman",297,13,BAIK
1-Feb-15,"Jambon, Sleman",258,13,BAIK
1-Mar-15,"Jambon, Sleman",560,15,BAIK
1-Apr-15,"Jambon, Sleman",347,14,BAIK
1-May-15,"Jambon, Sleman",63,3,BURUK
1-Jun-15,"Jambon, Sleman",63,3,BURUK
1-Jul-15,"Jambon, Sleman",0,0,BURUK
1-Aug-15,"Jambon, Sleman",0,0,BURUK
1-Sep-15,"Jambon, Sleman",0,0,BURUK
1-Oct-15,"Jambon, Sleman",0,0,BURUK
1-Nov-15,"Jambon, Sleman",187,11,BURUK
1-Dec-15,"Jambon, Sleman",379,22,BAIK
1-Jan-16,"Jambon, Sleman",311,11,BAIK
1-Feb-16,"Jambon, Sleman",0,0,BURUK
1-Mar-16,"Jambon, Sleman",609,22,BAIK
1-Apr-16,"Jambon, Sleman",143,9,BURUK
1-May-16,"Jambon, Sleman",354,13,BAIK
1-Jun-16,"Jambon, Sleman",137,9,BURUK
1-Jul-16,"Jambon, Sleman",195,9,BURUK
1-Aug-16,"Jambon, Sleman",0,0,BURUK
1-Sep-16,"Jambon, Sleman",310,13,BAIK
1-Oct-16,"Jambon, Sleman",440,15,BAIK
1-Nov-16,"Jambon, Sleman",520,18,BAIK
1-Dec-16,"Jambon, Sleman",322,11,BAIK
1-Jan-17,"Jambon, Sleman",371,18,BAIK
1-Feb-17,"Jambon, Sleman",327,15,BAIK
1-Mar-17,"Jambon, Sleman",396,13,BAIK
1-Apr-17,"Jambon, Sleman",418,12,BAIK
1-May-17,"Jambon, Sleman",172,6,BURUK
1-Jun-17,"Jambon, Sleman",5,1,BURUK
1-Jul-17,"Jambon, Sleman",28,2,BURUK
1-Aug-17,"Jambon, Sleman",0,0,BURUK
1-Sep-17,"Jambon, Sleman",154,5,BURUK
1-Oct-17,"Jambon, Sleman",139,6,BURUK
1-Nov-17,"Jambon, Sleman",619,19,BAIK
1-Dec-17,"Jambon, Sleman",394,12,BAIK
1-Jan-18,"Jambon, Sleman",628,23,BAIK
1-Feb-18,"Jambon, Sleman",303,13,BAIK
1-Mar-18,"Jambon, Sleman",261,11,BAIK
1-Apr-18,"Jambon, Sleman",229,11,BURUK
