date,region,rainfall,rain_intensity,planting_time
12/1/2017,"Kolombo, Sleman",159,19,BURUK
1/1/2018,"Kolombo, Sleman",277,27,BAIK
2/1/2018,"Kolombo, Sleman",83,19,BURUK
3/1/2018,"Kolombo, Sleman",126,17,BURUK
4/1/2018,"Kolombo, Sleman",32,12,BURUK
5/1/2018,"Kolombo, Sleman",25,6,BURUK
6/1/2018,"Kolombo, Sleman",8,2,BURUK
7/1/2018,"Kolombo, Sleman",0,0,BURUK
8/1/2018,"Kolombo, Sleman",0,0,BURUK
9/1/2018,"Kolombo, Sleman",5,4,BURUK
10/1/2018,"Kolombo, Sleman",1,2,BURUK
11/1/2018,"Kolombo, Sleman",318,12,BAIK
12/1/2018,"Kolombo, Sleman",264,18,BAIK
1/1/2019,"Kolombo, Sleman",284,26,BAIK
2/1/2019,"Kolombo, Sleman",208,19,BURUK
3/1/2019,"Kolombo, Sleman",393,22,BAIK
4/1/2019,"Kolombo, Sleman",107,14,BURUK
5/1/2019,"Kolombo, Sleman",13,6,BURUK
6/1/2019,"Kolombo, Sleman",0,0,BURUK
7/1/2019,"Kolombo, Sleman",0,1,BURUK
8/1/2019,"Kolombo, Sleman",1,1,BURUK
9/1/2019,"Kolombo, Sleman",0,0,BURUK
10/1/2019,"Kolombo, Sleman",0,0,BURUK
11/1/2019,"Kolombo, Sleman",34,9,BURUK
12/1/2019,"Kolombo, Sleman",125,26,BURUK
1/1/2015,"Maguwoharo, Sleman",395,22,BAIK
2/1/2015,"Maguwoharo, Sleman",415,13,BAIK
3/1/2015,"Maguwoharo, Sleman",444,15,BAIK
4/1/2015,"Maguwoharo, Sleman",433,15,BAIK
5/1/2015,"Maguwoharo, Sleman",212,5,BURUK
6/1/2015,"Maguwoharo, Sleman",45,1,BURUK
7/1/2015,"Maguwoharo, Sleman",0,0,BURUK
8/1/2015,"Maguwoharo, Sleman",0,0,BURUK
9/1/2015,"Maguwoharo, Sleman",0,0,BURUK
10/1/2015,"Maguwoharo, Sleman",0,0,BURUK
11/1/2015,"Maguwoharo, Sleman",106,8,BURUK
12/1/2015,"Maguwoharo, Sleman",421,16,BAIK
1/1/2016,"Maguwoharo, Sleman",180,13,BURUK
2/1/2016,"Maguwoharo, Sleman",583,13,BAIK
3/1/2016,"Maguwoharo, Sleman",551,17,BAIK
4/1/2016,"Maguwoharo, Sleman",146,10,BURUK
5/1/2016,"Maguwoharo, Sleman",67,5,BURUK
6/1/2016,"Maguwoharo, Sleman",230,8,BURUK
7/1/2016,"Maguwoharo, Sleman",135,7,BURUK
8/1/2016,"Maguwoharo, Sleman",167,8,BURUK
9/1/2016,"Maguwoharo, Sleman",256,9,BAIK
